Continent,Country,Month,equipment,equipment_code,demand,supply
Africa,Algeria,2020-01-01T01:01:01Z,oxygen cylinder,0,900,202
Africa,Algeria,2020-01-01T01:01:01Z,O2 Generator,1,274,173
Africa,Algeria,2020-01-01T01:01:01Z,Mask,2,650,691
Africa,Algeria,2020-01-01T01:01:01Z,Ventilators,3,26,50
Africa,Algeria,2020-01-01T01:01:01Z,O2 Concentrators,4,27,152
Africa,Algeria,2020-01-01T01:01:01Z,Testing Units,5,442,780
Africa,Algeria,2020-01-01T01:01:01Z,Pulse Oxymeters,6,995,241
Africa,Algeria,2020-01-01T01:01:01Z,General Medicines,7,374,28
Africa,Algeria,2020-01-01T01:01:01Z,PPE Kit,8,723,196
Africa,Algeria,2020-02-01T01:01:01Z,oxygen cylinder,0,1710,456
Africa,Algeria,2020-02-01T01:01:01Z,O2 Generator,1,358,39
Africa,Algeria,2020-02-01T01:01:01Z,Mask,2,5540,1745
Africa,Algeria,2020-02-01T01:01:01Z,Ventilators,3,213,92
Africa,Algeria,2020-02-01T01:01:01Z,O2 Concentrators,4,62,20
Africa,Algeria,2020-02-01T01:01:01Z,Testing Units,5,1969,2768
Africa,Algeria,2020-02-01T01:01:01Z,Pulse Oxymeters,6,1093,590
Africa,Algeria,2020-02-01T01:01:01Z,General Medicines,7,4361,1980
Africa,Algeria,2020-02-01T01:01:01Z,PPE Kit,8,1163,213
Africa,Algeria,2020-03-01T01:01:01Z,oxygen cylinder,0,2916,2045
Africa,Algeria,2020-03-01T01:01:01Z,O2 Generator,1,32,290
Africa,Algeria,2020-03-01T01:01:01Z,Mask,2,25388,2949
Africa,Algeria,2020-03-01T01:01:01Z,Ventilators,3,51,228
Africa,Algeria,2020-03-01T01:01:01Z,O2 Concentrators,4,742,78
Africa,Algeria,2020-03-01T01:01:01Z,Testing Units,5,132,3934
Africa,Algeria,2020-03-01T01:01:01Z,Pulse Oxymeters,6,735,168
Africa,Algeria,2020-03-01T01:01:01Z,General Medicines,7,33671,9961
Africa,Algeria,2020-03-01T01:01:01Z,PPE Kit,8,2938,2349
Africa,Algeria,2020-04-01T01:01:01Z,oxygen cylinder,0,3631,1153
Africa,Algeria,2020-04-01T01:01:01Z,O2 Generator,1,1393,121
Africa,Algeria,2020-04-01T01:01:01Z,Mask,2,15746,25389
Africa,Algeria,2020-04-01T01:01:01Z,Ventilators,3,347,376
Africa,Algeria,2020-04-01T01:01:01Z,O2 Concentrators,4,143,808
Africa,Algeria,2020-04-01T01:01:01Z,Testing Units,5,10307,781
Africa,Algeria,2020-04-01T01:01:01Z,Pulse Oxymeters,6,170,2897
Africa,Algeria,2020-04-01T01:01:01Z,General Medicines,7,81085,13723
Africa,Algeria,2020-04-01T01:01:01Z,PPE Kit,8,3694,2234
Africa,Algeria,2020-05-01T01:01:01Z,oxygen cylinder,0,1462,3839
Africa,Algeria,2020-05-01T01:01:01Z,O2 Generator,1,1355,917
Africa,Algeria,2020-05-01T01:01:01Z,Mask,2,50421,4332
Africa,Algeria,2020-05-01T01:01:01Z,Ventilators,3,615,451
Africa,Algeria,2020-05-01T01:01:01Z,O2 Concentrators,4,504,217
Africa,Algeria,2020-05-01T01:01:01Z,Testing Units,5,16059,1008
Africa,Algeria,2020-05-01T01:01:01Z,Pulse Oxymeters,6,4463,3121
Africa,Algeria,2020-05-01T01:01:01Z,General Medicines,7,184464,48979
Africa,Algeria,2020-05-01T01:01:01Z,PPE Kit,8,1566,1429
Africa,Algeria,2020-06-01T01:01:01Z,oxygen cylinder,0,1884,2357
Africa,Algeria,2020-06-01T01:01:01Z,O2 Generator,1,595,871
Africa,Algeria,2020-06-01T01:01:01Z,Mask,2,151286,13866
Africa,Algeria,2020-06-01T01:01:01Z,Ventilators,3,955,500
Africa,Algeria,2020-06-01T01:01:01Z,O2 Concentrators,4,1657,812
Africa,Algeria,2020-06-01T01:01:01Z,Testing Units,5,2457,5769
Africa,Algeria,2020-06-01T01:01:01Z,Pulse Oxymeters,6,3429,4116
Africa,Algeria,2020-06-01T01:01:01Z,General Medicines,7,143397,36512
Africa,Algeria,2020-06-01T01:01:01Z,PPE Kit,8,2483,3294
Africa,Algeria,2020-07-01T01:01:01Z,oxygen cylinder,0,3452,2400
Africa,Algeria,2020-07-01T01:01:01Z,O2 Generator,1,1793,1132
Africa,Algeria,2020-07-01T01:01:01Z,Mask,2,340692,88034
Africa,Algeria,2020-07-01T01:01:01Z,Ventilators,3,175,10
Africa,Algeria,2020-07-01T01:01:01Z,O2 Concentrators,4,489,782
Africa,Algeria,2020-07-01T01:01:01Z,Testing Units,5,32427,14599
Africa,Algeria,2020-07-01T01:01:01Z,Pulse Oxymeters,6,1819,1078
Africa,Algeria,2020-07-01T01:01:01Z,General Medicines,7,644713,43526
Africa,Algeria,2020-07-01T01:01:01Z,PPE Kit,8,2758,3970
Africa,Algeria,2020-08-01T01:01:01Z,oxygen cylinder,0,7530,2705
Africa,Algeria,2020-08-01T01:01:01Z,O2 Generator,1,877,108
Africa,Algeria,2020-08-01T01:01:01Z,Mask,2,504111,140479
Africa,Algeria,2020-08-01T01:01:01Z,Ventilators,3,988,238
Africa,Algeria,2020-08-01T01:01:01Z,O2 Concentrators,4,2185,1233
Africa,Algeria,2020-08-01T01:01:01Z,Testing Units,5,9485,44372
Africa,Algeria,2020-08-01T01:01:01Z,Pulse Oxymeters,6,2447,1427
Africa,Algeria,2020-08-01T01:01:01Z,General Medicines,7,421988,41519
Africa,Algeria,2020-08-01T01:01:01Z,PPE Kit,8,7252,5228
Africa,Algeria,2020-09-01T01:01:01Z,oxygen cylinder,0,7880,5161
Africa,Algeria,2020-09-01T01:01:01Z,O2 Generator,1,2323,1070
Africa,Algeria,2020-09-01T01:01:01Z,Mask,2,117606,24518
Africa,Algeria,2020-09-01T01:01:01Z,Ventilators,3,826,594
Africa,Algeria,2020-09-01T01:01:01Z,O2 Concentrators,4,1451,1873
Africa,Algeria,2020-09-01T01:01:01Z,Testing Units,5,70990,19296
Africa,Algeria,2020-09-01T01:01:01Z,Pulse Oxymeters,6,7899,5501
Africa,Algeria,2020-09-01T01:01:01Z,General Medicines,7,842557,85251
Africa,Algeria,2020-09-01T01:01:01Z,PPE Kit,8,8080,5148
Africa,Algeria,2020-10-01T01:01:01Z,oxygen cylinder,0,6416,432
Africa,Algeria,2020-10-01T01:01:01Z,O2 Generator,1,1493,342
Africa,Algeria,2020-10-01T01:01:01Z,Mask,2,690223,237764
Africa,Algeria,2020-10-01T01:01:01Z,Ventilators,3,655,796
Africa,Algeria,2020-10-01T01:01:01Z,O2 Concentrators,4,2355,910
Africa,Algeria,2020-10-01T01:01:01Z,Testing Units,5,93501,64621
Africa,Algeria,2020-10-01T01:01:01Z,Pulse Oxymeters,6,2857,5030
Africa,Algeria,2020-10-01T01:01:01Z,General Medicines,7,1341213,267513
Africa,Algeria,2020-10-01T01:01:01Z,PPE Kit,8,6339,1283
Africa,Algeria,2020-11-01T01:01:01Z,oxygen cylinder,0,9507,2037
Africa,Algeria,2020-11-01T01:01:01Z,O2 Generator,1,52,1793
Africa,Algeria,2020-11-01T01:01:01Z,Mask,2,547576,188677
Africa,Algeria,2020-11-01T01:01:01Z,Ventilators,3,2097,71
Africa,Algeria,2020-11-01T01:01:01Z,O2 Concentrators,4,1941,101
Africa,Algeria,2020-11-01T01:01:01Z,Testing Units,5,54580,76303
Africa,Algeria,2020-11-01T01:01:01Z,Pulse Oxymeters,6,9492,3152
Africa,Algeria,2020-11-01T01:01:01Z,General Medicines,7,1568286,120281
Africa,Algeria,2020-11-01T01:01:01Z,PPE Kit,8,8036,3431
Africa,Algeria,2020-12-01T01:01:01Z,oxygen cylinder,0,4536,4575
Africa,Algeria,2020-12-01T01:01:01Z,O2 Generator,1,1525,1819
Africa,Algeria,2020-12-01T01:01:01Z,Mask,2,1348556,155688
Africa,Algeria,2020-12-01T01:01:01Z,Ventilators,3,3796,602
Africa,Algeria,2020-12-01T01:01:01Z,O2 Concentrators,4,230,1162
Africa,Algeria,2020-12-01T01:01:01Z,Testing Units,5,31927,21861
Africa,Algeria,2020-12-01T01:01:01Z,Pulse Oxymeters,6,4535,1926
Africa,Algeria,2020-12-01T01:01:01Z,General Medicines,7,2911062,3639
Africa,Algeria,2020-12-01T01:01:01Z,PPE Kit,8,7064,8828
Africa,Algeria,2021-01-01T01:01:01Z,oxygen cylinder,0,11798,4530
Africa,Algeria,2021-01-01T01:01:01Z,O2 Generator,1,4666,1852
Africa,Algeria,2021-01-01T01:01:01Z,Mask,2,1395526,217938
Africa,Algeria,2021-01-01T01:01:01Z,Ventilators,3,3239,390
Africa,Algeria,2021-01-01T01:01:01Z,O2 Concentrators,4,2468,2368
Africa,Algeria,2021-01-01T01:01:01Z,Testing Units,5,166062,19052
Africa,Algeria,2021-01-01T01:01:01Z,Pulse Oxymeters,6,4439,5448
Africa,Algeria,2021-01-01T01:01:01Z,General Medicines,7,1167571,496930
Africa,Algeria,2021-01-01T01:01:01Z,PPE Kit,8,8028,3593
Africa,Algeria,2021-02-01T01:01:01Z,oxygen cylinder,0,9355,9376
Africa,Algeria,2021-02-01T01:01:01Z,O2 Generator,1,2839,1023
Africa,Algeria,2021-02-01T01:01:01Z,Mask,2,2552382,344060
Africa,Algeria,2021-02-01T01:01:01Z,Ventilators,3,3714,315
Africa,Algeria,2021-02-01T01:01:01Z,O2 Concentrators,4,2155,3133
Africa,Algeria,2021-02-01T01:01:01Z,Testing Units,5,97944,90788
Africa,Algeria,2021-02-01T01:01:01Z,Pulse Oxymeters,6,12128,9756
Africa,Algeria,2021-02-01T01:01:01Z,General Medicines,7,2849109,619683
Africa,Algeria,2021-02-01T01:01:01Z,PPE Kit,8,1218,918
Africa,Algeria,2021-03-01T01:01:01Z,oxygen cylinder,0,786,4921
Africa,Algeria,2021-03-01T01:01:01Z,O2 Generator,1,5654,743
Africa,Algeria,2021-03-01T01:01:01Z,Mask,2,2623610,523452
Africa,Algeria,2021-03-01T01:01:01Z,Ventilators,3,4958,1257
Africa,Algeria,2021-03-01T01:01:01Z,O2 Concentrators,4,3043,832
Africa,Algeria,2021-03-01T01:01:01Z,Testing Units,5,18466,72731
Africa,Algeria,2021-03-01T01:01:01Z,Pulse Oxymeters,6,6635,4258
Africa,Algeria,2021-03-01T01:01:01Z,General Medicines,7,1730840,619267
Africa,Algeria,2021-03-01T01:01:01Z,PPE Kit,8,10330,5886
Africa,Algeria,2021-04-01T01:01:01Z,oxygen cylinder,0,6777,2746
Africa,Algeria,2021-04-01T01:01:01Z,O2 Generator,1,776,926
Africa,Algeria,2021-04-01T01:01:01Z,Mask,2,247292,619376
Africa,Algeria,2021-04-01T01:01:01Z,Ventilators,3,3625,361
Africa,Algeria,2021-04-01T01:01:01Z,O2 Concentrators,4,2857,3875
Africa,Algeria,2021-04-01T01:01:01Z,Testing Units,5,43935,4236
Africa,Algeria,2021-04-01T01:01:01Z,Pulse Oxymeters,6,9279,7200
Africa,Algeria,2021-04-01T01:01:01Z,General Medicines,7,4543621,310397
Africa,Algeria,2021-04-01T01:01:01Z,PPE Kit,8,5075,11753
Africa,Algeria,2021-05-01T01:01:01Z,oxygen cylinder,0,12154,5688
Africa,Algeria,2021-05-01T01:01:01Z,O2 Generator,1,838,1889
Africa,Algeria,2021-05-01T01:01:01Z,Mask,2,3891158,710779
Africa,Algeria,2021-05-01T01:01:01Z,Ventilators,3,3706,1230
Africa,Algeria,2021-05-01T01:01:01Z,O2 Concentrators,4,181,3529
Africa,Algeria,2021-05-01T01:01:01Z,Testing Units,5,132909,100782
Africa,Algeria,2021-05-01T01:01:01Z,Pulse Oxymeters,6,16032,6063
Africa,Algeria,2021-05-01T01:01:01Z,General Medicines,7,733156,1099939
Africa,Algeria,2021-05-01T01:01:01Z,PPE Kit,8,16194,11888
Africa,Algeria,2021-06-01T01:01:01Z,oxygen cylinder,0,10208,596
Africa,Algeria,2021-06-01T01:01:01Z,O2 Generator,1,5155,1988
Africa,Algeria,2021-06-01T01:01:01Z,Mask,2,1964695,913978
Africa,Algeria,2021-06-01T01:01:01Z,Ventilators,3,2207,1742
Africa,Algeria,2021-06-01T01:01:01Z,O2 Concentrators,4,3739,1588
Africa,Algeria,2021-06-01T01:01:01Z,Testing Units,5,197628,221624
Africa,Algeria,2021-06-01T01:01:01Z,Pulse Oxymeters,6,2404,7345
Africa,Algeria,2021-06-01T01:01:01Z,General Medicines,7,5518707,347200
Africa,Algeria,2021-06-01T01:01:01Z,PPE Kit,8,15815,6206
Africa,Algeria,2021-07-01T01:01:01Z,oxygen cylinder,0,5568,8616
Africa,Algeria,2021-07-01T01:01:01Z,O2 Generator,1,1636,3192
Africa,Algeria,2021-07-01T01:01:01Z,Mask,2,5691149,996963
Africa,Algeria,2021-07-01T01:01:01Z,Ventilators,3,617,307
Africa,Algeria,2021-07-01T01:01:01Z,O2 Concentrators,4,4936,4448
Africa,Algeria,2021-07-01T01:01:01Z,Testing Units,5,206086,52737
Africa,Algeria,2021-07-01T01:01:01Z,Pulse Oxymeters,6,7313,2911
Africa,Algeria,2021-07-01T01:01:01Z,General Medicines,7,7190782,1041527
Africa,Algeria,2021-07-01T01:01:01Z,PPE Kit,8,11264,14320
Africa,Algeria,2021-08-01T01:01:01Z,oxygen cylinder,0,5495,14667
Africa,Algeria,2021-08-01T01:01:01Z,O2 Generator,1,1382,3779
Africa,Algeria,2021-08-01T01:01:01Z,Mask,2,204833,323490
Africa,Algeria,2021-08-01T01:01:01Z,Ventilators,3,5139,1249
Africa,Algeria,2021-08-01T01:01:01Z,O2 Concentrators,4,5517,2002
Africa,Algeria,2021-08-01T01:01:01Z,Testing Units,5,374101,201478
Africa,Algeria,2021-08-01T01:01:01Z,Pulse Oxymeters,6,14018,9271
